"University" ,"Guidelines"
"Harvard","Dear Members of the Harvard Community We write today with initial guidelines on the use and procurement of generative artificial intelligence (AI) tools such as OpenAI’s ChatGPT and Google Bard. The University supports responsible experimentation with generative AI tools but there are important considerations to keep in mind when using these tools including information security and data privacy compliance copyright and academic integrity. Generative AI is a rapidly evolving technology and the University will continue to monitor developments and incorporate feedback from the Harvard community to update our guidelines accordingly.Initial guidelines for use of generative AI tools: Protect confidential data: You should not enter data classified as confidential (Level 2 and above) including non-public research data into publicly-available generative AI tools in accordance with the University’s Information Security Policy. Information shared with generative AI tools using default settings is not private and could expose proprietary or sensitive information to unauthorized parties. You are responsible for any content that you produce or publish that includes AI-generated material: AI-generated content can be inaccurate misleading or entirely fabricated (sometimes called hallucinations ) or may contain copyrighted material. Review your AI-generated content before publication. Adhere to current policies on academic integrity: Review your School’s student and faculty handbooks and policies. We expect that Schools will be developing and updating their policies as we better understand the implications of using generative AI tools. In the meantime faculty should be clear with students they’re teaching and advising about their policies on permitted uses if any of generative AI in classes and on academic work. Students are also encouraged to ask their instructors for clarification about these policies as needed. Be alert for AI-enabled phishing: Generative AI has made it easier for malicious actors to create sophisticated scams at a far greater scale. Continue to follow security best practices and report suspicious messages to phishing@harvard.edu. Connect with HUIT before procuring generative AI tools: The University is working to ensure that tools procured on behalf of Harvard have the appropriate privacy and security protections and provide the best use of Harvard funds. If you have procured or are considering procuring generative AI tools or have questions contact HUIT at ithelp@harvard.edu. Vendor generative AI tools must be assessed for risk by Harvard’s Information Security and Data Privacy office prior to use. It is important to note that these guidelines are not new University policy; rather they leverage existing University policies. You can find more information about generative AI including a survey to collect data on its potential use on the HUIT website which will be updated as new information becomes available."
"Yale","Publicly available generative Artificial Intelligence (AI) tools such as ChatGPT Bing Midjourney and Bard have garnered tremendous attention in the past year. The field of generative AI is developing rapidly. While its precise impacts are unknown this technology will transform how we learn teach conduct research and carry out daily tasks. We encourage you to experiment with AI tools. As you explore AI’s potential please adhere to the following general guidelines which align with existing university policies and uphold our institutional commitment to safety security and academic integrity. Protect Yale’s confidential information and your own. Do not enter confidential or legally restricted data or any data that Yale’s data classification policy identifies as moderate or high-risk into an AI tool. If you are not sure whether you should share certain data please review Yale’s data classification policy. Assume all information shared will be made public. Treat all information shared with an AI tool as if it will become public. Do not share information that is personal or sensitive and be mindful that the information you input into an AI tool may be retained. Always follow academic integrity guidelines and institutional standards of conduct. All students and faculty are expected to know and adhere to their school’s academic integrity policies. Faculty members are expected to provide clear instructions on the permitted use of generative AI tools for academic work and requirements for attribution. Likewise students are expected to follow their instructors’ guidelines about permitted use of AI for coursework. Be alert for bias and inaccuracy. AI-generated responses can be biased inaccurate inappropriate or may contain unauthorized copyrighted information. We are each responsible for the content of our work product. Always review and verify outputs generated by AI tools especially before publication. Protect yourself and your credentials. Never share your Yale NetID and password with AI tools and always be aware of phishing schemes. For information tips and toolkits on cybersafe practices visit Yale’s Cybersecurity website which also includes information about security policies and standards. Seek support. The university is working to support procurement practices that coordinate shared interests and minimize institutional risk. If you are considering acquiring an AI product please conduct an initial review of the tool to ensure that it conforms to institutional security requirements. Use Yale’s purchasing intake portal or contact purchasing.helpdesk@yale.edu."
"northwestern","Generative AI is evolving quickly as is institutional support for utilizing these tools. For up-to-date recommendations on teaching and learning please visit the Poorvu Center’s webpage on AI Guidance. Detailed AI guidelines for staff are available on Yale’s data governance website. As a university community dedicated to exchanging ideas disseminating knowledge and fostering a climate for breakthrough discoveries we will embrace technological tools and harness their power for innovation. We must do this safely and responsibly. We thank you for your efforts in adhering to these guidelines. Northwestern  Generative AI offers the potential for new capabilities in research education and productivity. Expectedly use of tools and services including OpenAI’s ChatGPT Microsoft’s Bing Chat and Google’s Bard is growing within higher education and across Northwestern University. Understanding what to look for when adopting these tools is key to ensuring the intended use is met while protecting University data. Generative AI is a general term for artificial intelligence that creates new content based on patterns from the data sets used to train it. These generative models learn patterns structures and features from the input data and can create content with similar characteristics. Generative AI tools commonly known today include ChatGPT Bard Bing Chat Starry AI MidJourney etc. Generative AI is also now embedded in many commercial products that can be integrated with other tools such as OtterAI Microsoft Co-Pilot Zoom IQ and Fireflies. Privacy In most cases the data you share as part of your queries in generative AI tools will be accessible by others using the same tools. This is because generative AI learns by collecting analyzing and storing user-provided information. Therefore University faculty staff students and affiliates should not enter institutional data into any generative AI tools that have not been validated by the University for appropriate use and have explicit permission of the data provider. Data Approved for Use with Generative AI To determine whether your data requires special attention consult Northwestern’s Data Classification Policy. If your data is Level 1 (non-confidential and public data) uploading it to generative AI tools is permissible. To process data above Level 1 any generative AI tool must have been approved through Northwestern IT’s procurement and security review processes. The following table outlines Northwestern’s current services posture based on data classification: Northwestern’s current services posture based on data classification Interaction Type Public Data (Level 1) Sensitive/Regulated Data (Level 2 Level 3 Level 4) Conversational/Interactive Mode Use of publicly available tools (e.g. ChatGPT Bing Chat Bard MidJourney etc.) No solution is currently available at Northwestern though several products are undergoing review. Application Programming Interfaces Use of Northwestern Azure with OpenAI with appropriate security and access controls Use of Northwestern Azure + OpenAI with security and access controls that meet or exceed regulatory or data protection requirements At this time the University has not approved additional applications or services for use at Northwestern with Level 2 and above data; however several (including Bing Chat Enterprise and Microsoft Co-Pilot) are being evaluated for safety security and supportability. This page will be updated as products are approved for use. Academic Use at Northwestern Use of generative AI for teaching and learning purposes is governed by the Provost’s Committee on Generative AI in tandem with Northwestern IT. Guidance on generative AI tools and the impact on teaching and learning can be found on the Office of the Provost website. Research Use at Northwestern Questions about AI usage pertaining to research applications can be directed to the Northwestern IT Research Computing and Data Services team. All Other Uses of AI at Northwestern Questions about AI usage pertaining to information security privacy considerations use of AI tools with Level 2 or above data or evaluation of new third-party AI products can be directed to the Northwestern IT Information Security Office. Further Considerations for Adoption Generative AI models are designed to output the most common results possible based on their training data and will invariably tend to suppress less common or marginalized information. Further these tools can hallucinate or make up random data that is not true as they do not have the ability to determine what is true or false. Revalidation of output is required: Given that generative AI models continue to adjust over time the output of their responses could change too. It is also possible for generative AI models to hallucinate or otherwise use false information in their responses. When deployed where output requires accuracy these tools should be periodically re-validated to ensure appropriate responses. Original work and intellectual property: Ensure necessary approvals for use of original works and intellectual property are obtained prior to input into generative AI tools. Examples here could be original works developed by students research results or obtained copyrighted material. Informed consent: Users have the right to know when they are using generative AI tools. This knowledge can encourage informed decisions about whether to engage share or rely on the generated content."
"Stanford","The Board on Conduct Affairs (BCA) has been asked to address the Honor Code implications of generative AI tools such as ChatGPT Bard DALL-E and Stable Diffusion. These are novel tools and both students and instructors have been experimenting with their use in academic settings. While these tools have applications that foster student learning and understanding these tools can also be used in ways that bypass key learning objectives. To give sufficient space for instructors to explore uses of generative AI tools in their courses and to set clear guidelines to students about what uses are and are not consistent with the Stanford Honor Code the BCA has set forth the following policy guidance regarding generative AI in the context of coursework: Absent a clear statement from a course instructor use of or consultation with generative AI shall be treated analogously to assistance from another person. In particular using generative AI tools to substantially complete an assignment or exam (e.g. by entering exam or assignment questions) is not permitted. Students should acknowledge the use of generative AI (other than incidental use) and default to disclosing such assistance when in doubt. Individual course instructors are free to set their own policies regulating the use of generative AI tools in their courses including allowing or disallowing some or all uses of such tools. Course instructors should set such policies in their course syllabi and clearly communicate such policies to students. Students who are unsure of policies regarding generative AI tools are encouraged to ask their instructors for clarification. The BCA will continue to monitor developments in these tools and their use in academic settings and may update this guidance. Members of the community are encouraged to contact the BCA to provide input suggestions and comments on this policy."
"UCB","Guidance on using Generative AI tools Viewable by the world What You Need to Know Commercial generative AI tools are not covered under negotiated agreements- only provide non-sensitive/public inputs to these tools. Never enter proprietary export controlled PII or other controlled data into these tools. Generative AI can create novel and unresolved intellectual property issues from new images derived closely from their original source to potential claims that the third party tool has a role in the development of a technology the Lab is working on to complaints regarding the training set of researcher-created models. Use caution especially around anything related to the development of intellectual property. Generative AI Tools and Data Protection As the advancements in artificial intelligence continue to shape the landscape of scientific research and innovation it is imperative that we establish clear boundaries and best practices for the responsible deployment of Generative AI tools within our information ecosystem. This document aims to provide Berkeley Lab employees with guidance on the utilization of Generative AI technologies while ensuring the security of sensitive information developed at Berkeley Lab. Licensing Agreements Berkeley Lab policy requires that all software licensing agreements with suppliers (and other entities) particularly those software suppliers that will host data generated or owned by Berkeley Lab the UC or the Department of Energy as part of their services require the software supplier to comply with a variety of Berkeley Lab data security and privacy practices. These include but are not limited to the protection of all Berkeley Lab data against loss unauthorized access and use and the indemnification of Berkeley Lab the University of California and the Department of Energy and compliance with all software-related requirements. The data security and privacy provisions contained in these agreements are a critical part of Berkeley Lab's ongoing efforts to ensure the protection of the data and information related to its research operations and the personal information of its employees. However there is currently no agreement with OpenAI the developer of ChatGPT or its licensees that would provide these types of protections with regard to ChatGPT or OpenAI's programming interface. Consequently the use of ChatGPT at this time could expose the individual user and Berkeley Lab the UC and the Department of Energy to the potential loss and/or abuse of highly sensitive data and information. Similarly Google's Bard AI can be accessed with your LBL identity but is subject to different protections than the core Google Workspace accounts. There are no agreements with popular image generation tools such as Midjourney Dall-E (OpenAI) or online providers of Stable Diffusion. Generative AI Tools use Do not submit confidential or protected information such as Personally Identifiable Information Proprietary Information and Export Controlled Information on Generative AI tools like Open AI's ChatGPT or Google's Bard. In general any data that is determined to be protected or controlled should not be used to generate a response using Generative AI tools. You can refer to the Lab's Controlled and Prohibited Information Categories policy to learn more about each information type. Please be advised that in the absence of a Berkeley Lab agreement covering use of ChatGPT your use of ChatGPT constitutes personal use and obligates you as an individual to assume responsibility for compliance with the terms and conditions set forth in OpenAI's own Terms of Use. For further guidance on using Google Bard please review the references listed below that address Google's Generative AI Terms of Service. This includes Google's Prohibited Use Policy as well as Privacy Policy and Use Restrictions. Please note that OpenAI states that how it uses or does not use your information is different when using their API services from the consumer ChatGPT interface. For further guidance on using ChatGPT please review the references listed below that address OpenAI's own recommendations and policies on research and streaming of ChatGPT and privacy among others. Intellectual Property Concerns Intellectual Property Infringement: Generative AI tools are capable of producing content that closely resembles existing copyrighted works. Researchers need to ensure that their use of such tools does not infringe upon the intellectual property rights of others. This includes avoiding the creation of derivative works without proper authorization or licensing. Dataset Licensing: AI models often require large datasets for training and these datasets may contain copyrighted material. Researchers must ensure that they have the necessary rights or permissions to use the data especially if it includes protected works such as images text or audio. DO NOT DISTRIBUTE A MODEL YOU DEVELOPED WITHOUT CONSULTING WITH IPO. Authorship and Attribution: Researchers who develop an original research model are generally credited as the authors or inventors of the model. However if the generative AI model significantly enhances the research model a question of authorship ownership and attribution for the improved version may arise. Authorship and citation remains a complex and evolving issue for these tools. University and Lab policy require the highest ethical standards in authorship and citation. Consider an expansive approach to citation of these tools as new norms within scientific communities take form. Prohibited Use Please also note that OpenAI explicitly forbids the use of ChatGPT and their other products for certain categories of activity. This list of items can be found in their usage policy document. Further guidance on Google Bard ChatGPT and other Generative AI tools will be forthcoming as soon as it is available."
"USC" ,"Instructor Guidelines for Student Use of Generative Artificial Intelligence for Academic Work The University of Southern California's Academic Senate Committee on Information Services recommends that all USC schools academic departments and instructors adopt the following guidelines regarding student use of generative artificial intelligence for academic work. Instructors should encourage USC students to explore generative artificial intelligence (AI) using these new tools to create analyze and evaluate new concepts and ideas that inspire them to generate their own academic work. In advance of this exploration instructors should help students recognize that some contemporary AI-generated content may be specifically designed to appear plausible and persuasive but is sometimes factually inaccurate. Many of the issues that have surfaced with the introduction of ChatGPT - questions about academic integrity authorship and citations student engagement misinformation and disinformation - are issues higher education and society have encountered in the past in response to the need for digital literacy. We suggest that generative AI is simply the newest addition to USC's digital literacy tools. Ultimately this committee leaves instructors to set their own course policies regarding student use of generative AI. Whatever any given individual instructor decides should be clearly communicated to students in course materials. However the committee recommends that instructors remind students that the acquisition of academic work in whole or in part from any source (from textbooks and journal articles to web resources to generative AI) and the subsequent presentation of those materials as the student's own work (whether that material is paraphrased or copied in verbatim or near-verbatim form) constitutes an academic integrity violation unless otherwise allowed by the instructor. Individual assignments and exams may have additional specific requirements related to original work which should be clearly defined by the instructor. Because generative AI is a constantly evolving space the committee encourages USC's instructors to begin to learn more about generative AI so they can better adjust their pedagogy and evolve as educators. The Current State of Student Use of Generative AI for Academic Work (MidFebruary 2023) Limitations of Guidelines Our focus in this document is narrow: to highlight the steps that USC's instructors need to take today to identify and to state their expectations with respect to student use of generative AI for academic work. In the weeks and months to come we expect that USC's academic community will be asked to participate in broader conversations about generative AI and its place in academe and society. What is ChatGPT and what can it do? It is hard to overstate how much attention ChatGPT a free online artificial (AI) chatbot that generates text in response to prompts has received since its launch on November 30. One reason it has become so popular so quickly surpassing 100 million monthly active users to become the fastestgrowing consumer internet application in history is the ease and speed with which it can generate text on demand. Ask ChatGPT to \    write a five-paragraph essay on the impact John Stuart Mill's recantation of the wages fund doctrine had on classical economics\     or \    explain what it means when people say 'knowledge is knowing that Frankenstein is not the monster but wisdom is knowing that Frankenstein is the monster'\     or \    write a sonnet about Clay Helton\     and it creates plausible human-like text responses in a matter of seconds. Scholars researchers and educators have demonstrated that given the right prompts ChatGPT can Pass the final exam of an MBA-level Operations Management class at Wharton (Barely) pass questions on a law school exam at the University of Minnesota  Pass all three exams that comprise the United States Medical Licensing Examination Pass Google's coding exams and interviews at the level of an entry-level software engineer with no prior industry experience. Are students already using ChatGPT for academic work? Yes. Students are starting to use ChatGPT for their academic work. In a late-2022 nationwide survey of 1000 students currently enrolled in US colleges and universities nearly one-third of the students said they have already used ChatGPT to complete a written college assignment and nearly two-thirds of that group say that they have used it for 50% or more of their assignments. We expect both percentages to be even higher today. Are there other generative AI text tools like ChatGPT? Yes. ChatGPT is just the first in a wave of generative AI tools that will soon become ubiquitous. Generative AI is algorithms and tools that can be used to create new content including audio code images text simulations and videos. Recent new breakthroughs in the field have the potential to drastically change the way we approach content creation. (McKinsey & Company) Most of these new tools rely on 'large language models' AI systems that use advanced statistical techniques to analyze and understand natural language data such as text or speech and generate human-like responses. Microsoft already a major investor in OpenAI (makers of ChatGPT) launched a new AIpowered Bing search engine and Edge browser in early February 2023 and intends to incorporate AI-content generation into Microsoft Office programs like Outlook Word and PowerPoint. Later in 2023 Microsoft will release technology that will allow companies schools and governments to create their own custom ChatGPT-powered AI text generators. Google is expected to launch its own ChatGPT competitor named Bard in early 2023. In the summer of 2022 Meta (formerly Facebook) released its Open Pretrained Transformer (OPT) large language model to developers and researchers. And that is just the beginning (see https://www.futuretools.io/ for a list of hundreds of new AI tools that be used to generate text images audio and more). Considering this we suggest that rather than focusing solely on ChatGPT instructors should instead focus on what role they would like all generative AI tools to play in their classes and in their students' work going forward. How might instructors approach student use of generative AI? We suggest that there are two ways instructors can approach student use of generative AI: 1. Embrace and Enhance 2. Discourage and Detect Embrace and Enhance The good news is that many of the proven teaching and assessment techniques that worked in a pre-generative AI world still work in a world where any student with a cell phone and a generative AI account can create walls of academic(-sounding) text. USC's Center for Excellence in Teaching (CET) recently published a guide titled \    Using AI text image and music-generating tools in your courses\     that includes helpful ideas for incorporating AI-generators and AI-generated content in your course including evaluating and critiquing AIgenerated content (including interrogating the content for biases) and asking students to create rebuttals. Like our recommendation that students should use generative AI to create analyze and evaluate new concepts and ideas that inspire them to generate their own academic work CET recommends having your students use AI generators to brainstorm ideas formulate and iterate question prompts and refine responses adding that you should Frame using AI tools as something to build upon. Remind students of the best way to use these tools in their discipline such as for idea generation essentializing brainstorming or gathering information about the typical understanding of a topic. All uses of AI tools should be supplemented with appropriate evidentiary support and reflection. Some students may lack the foundational knowledge to understand why or how AI-generated content is inaccurate."
"UT Austin" ,"With the emergence of ChatGPT Bard and other large language model generative artificial intelligence tools hereinafter collectively referred to as AI Tools many members of our community are eager to explore their use in the university context. This advisory provides guidance on how to acceptably use these AI Tools safely without putting institutional personal or proprietary information at risk. Additional guidance may be forthcoming as circumstances evolve. Allowable Use: Data that is publicly available or defined as Published university information (UT Data Classification Standard) can be used freely in AI Tools. In all cases use should be consistent with the Acceptable Use Policy. Prohibited Use: At present any use of ChatGPT or similar AI Tools cannot use any personal confidential proprietary or otherwise sensitive information. In general student records subject to FERPA health information proprietary information and any other information classified as Confidential or Controlled university data must not be used with AI Tools. Similarly ChatGPT or similar AI Tools must not be used to generate output that would be considered non-public. Examples include but are not limited to generating proprietary or unpublished research; legal analysis or advice; recruitment personnel or disciplinary decision making; completion of academic work in a manner not allowed by the instructor; creation of non-public instructional materials; and grading. Please also note that the company that owns ChatGPT OpenAI explicitly forbids the use of ChatGPT and their other products for certain categories of activity including fraud and illegal activities. This list of items can be found in their usage policy. AI Tools of any sort may not be used for any activity that would be illegal fraudulent or a violation of any state or federal law or UT Austin or UT System policies. Additional Guidance: For further guidance on the use of ChatGPT or other AI Tools for teaching and learning please see the following guidance from the Center for Teaching and Learning. Rationale for the Above Guidance: No UT Agreement No Privacy and Security Terms: All content entered into or generated by ChatGPT is available to ChatGPT its parent company OpenAI and their employees. There is currently no agreement between UT Austin and OpenAI Microsoft or other AI Tools that would provide data security and privacy protections required by UT policy with regard to ChatGPT OpenAI's or other AI Tools' programming interfaces. Consequently the use of ChatGPT or other AI Tools at this time could expose individual users and UT to the potential loss and/or abuse of sensitive data and information. As of May 2023 the UT Austin Business Contracts Office is working on this issue. We hope to see this addressed in the near future and will update this guidance when additional information is available. Personal Liability: ChatGPT and other AI Tools use click-through agreements. Click-through agreements including OpenAI's and ChatGPT and other AI Tools' terms of use are contracts. Individuals who accept click-through agreements without delegated signature authority may face personal consequences including responsibility for compliance with terms and conditions."
"Cornell University" ,"To the Cornell community As Cornell continues to explore artificial intelligence (AI) particularly generative AI we are providing some preliminary guidelines for using these rapidly evolving technologies in ways that uphold our core values of purposeful discovery and free and open inquiry and expression. This communication summarizes the spirit of more extensive and formal information regularly updated on Cornell's new general webpage about AI and including links to reports of university committees. Generative AI offered through tools such as ChatGPT Claude Bard Bing AI and DALL-E is a subset of AI that uses machine learning models to create new original content such as images text or music based on patterns and structures learned from existing data. Cornell's preliminary guidelines seek to balance the exciting new possibilities offered by these tools with awareness of their limitations and the need for rigorous attention to accuracy intellectual property security privacy and ethical issues. These guidelines are upheld by existing university policies. Generative AI offered through tools such as ChatGPT Claude Bard Bing AI and DALL-E is a subset of AI that uses machine learning models to create new original content such as images text or music based on patterns and structures learned from existing data. Cornell's preliminary guidelines seek to balance the exciting new possibilities offered by these tools with awareness of their limitations and the need for rigorous attention to accuracy intellectual property security privacy and ethical issues. These guidelines are upheld by existing university policies. Accountability: You are accountable for your work regardless of the tools you use to produce it. When using generative AI tools always verify the information for errors and biases and exercise caution to avoid copyright infringement. Generative AI excels at applying predictions and patterns to create new content but since it cannot understand what it produces the results are sometimes misleading outdated or false. Confidentiality and privacy: If you are using public generative AI tools you cannot enter any Cornell information or another person's information that is confidential proprietary subject to federal or state regulations or otherwise considered sensitive or restricted. Any information you provide to public generative AI tools is considered public and may be stored and used by anyone else. As noted in the University Privacy Statement Cornell strives to honor the Privacy Principles: Notice Choice Accountability for Onward Transfer Security Data Integrity and Purpose Limitation Access and Recourse. Use for education and pedagogy: Cornell is encouraging a flexible framework in which faculty and instructors can choose to prohibit to allow with attribution or to encourage generative AI use. In addition to the CU Committee Report: Generative Artificial Intelligence for Education and Pedagogy delivered in July 2023 and resources from the Center for Teaching Innovation check with your college department or instructor for specific guidance. Tools and use for research administration and other purposes: By the end of 2023 Cornell is aiming to offer or recommend a set of generative AI tools that will meet the needs of students faculty staff and researchers while providing sufficient risk security and privacy protections. The use of generative AI for research and administration purposes must comply with the guidelines of the forthcoming reports from the university committees for research and administration. The reports are scheduled to be published by the end of 2023. For those seeking to purchase generative AI tools or subscriptions in advance of those guidelines and recommendations the IT Statement of Need process is required."
"Columbia University", "Generative AI Policy What is Generative AI? These tools can write and revise text on command offering new ways for students to learn but also raising questions about academic integrity. The best-known example of a generative AI chatbot is ChatGPT built by OpenAI and accessible through Bing AI but other tools such as Google Bard exist and are rapidly improving. Generative AI Policy CBS faculty acknowledge the availability of generative AI tools as well as their potential benefits and drawbacks. The faculty will indicate in course syllabi and in expectations for individual assignments whether the use of generative AI such as ChatGPT is permitted in their course(s). Because expectations for using generative AI will vary across courses and assignments students must read the expectations for each course carefully. As a general rule students should disclose to faculty if they are using generative AI platforms and how they are using them in coursework. Guidelines for when generative AI is permitted by faculty: If faculty permit generative AI in their course students will be instructed how to use and properly cite such tools in their work. Citation information will include what platforms students are using and how they are using them. Failure to properly and completely cite AI-generated responses may be reported as a violation of the CBS Honor Code. Guidelines for when faculty have not communicated their generative AI policy: If the course policy on AI is not clearly stated in the assignment instructions and/or in the syllabus students must communicate with their professor(s) to clarify before using generative AI in their coursework. Students are encouraged to communicate with their professors in writing via email. Consequences of using generative AI without faculty permission: The use of generative AI without faculty permission will be considered a violation of the CBS Honor Code. Suspected violations of this nature will be reported to Student Conduct in the Center for Student Success and Intervention (CSSI). Unauthorized use of AI shall be treated similarly to unauthorized assistance and/or plagiarism and is subject to Dean's Discipline."
"University of Pennsylvania", "The recent release of powerful generative AI tools has unsettled higher education. Tools such as Chat-GPT GPT-4 Bard DALL-E 2 Llama 2 Claude Pi and Bing are developing rapidly. These chat tools can write and revise text code and images in response to prompts raising questions about academic integrity the nature of our assignments and new ways we may ask students to think and learn. Below you can find an overview of these generative AI tools and potential ways faculty might respond. What is Generative AI? What Does It Do? Ways to Address Generative AI: Academic Integrity and Rethinking Assignments Making Generative AI Part of Your Teaching Sources and Further Reading Keep in mind that we are still in the early days of considering how these tools can be used and what their impacts will be. If you would like to discuss concerns related to generative AI and your teaching CETLI staff are available to meet. CETLI can also work with programs or departments to bring instructors together to consider strategies and implications related to this new platform. ChatGPT was the first of what are now many generative AI chatbots that produce coherent written responses and computer code in response to a user's natural language prompts and adapt their responses based on user feedback or additional prompts. Many are available for free (usually with user registration) but some of the most advanced tools such as GPT-4 require a paid subscription. These tools have already been used to produce a wide range of essays exam solutions letters fiction blog posts and many other outputs at various levels of quality and accuracy. Materials are usually clearly structured and grammatically correct. They can also generate code and fix coding bugs. They can tackle certain problem sets. And these tools can produce summaries of readings including materials from PDFs. While there is a lot generative AI can do it also has some varied and changing limitations. These tools periodically generate what have come to be called hallucinations: completely made-up information that looks plausible. Some but not all of the tools struggle with referencing sources. Some of the tools might produce citations that look correct but that do not refer to an actual article or book. Some may present information without any way to verify where it comes from or its validity. Similarly generative AI can produce harmful biased misleading or simply inaccurate content. All of this means that knowing a field is helpful in order to use generative AI most effectively. Additionally many tools do not have knowledge generated after the dates of their training (2021 for ChatGPT; 2023 for Claude). Some do and some do not have access to the internet. If you want to understand better how these chatbots work The New York Times has a series called How to Become an Expert on A.I. that can help."
